Gender,Number Of People,Percentage,Suburb
Male,"4,111",50.2,Abbotsford
Female,"4,081",49.8,Abbotsford
Male,"4,221",49.6,Collingwood
Female,"4,287",50.4,Collingwood
Male,"11,747",47.7,Kew
Female,"12,859",52.3,Kew
Male,"13,447",48.5,Richmond
Female,"14,257",51.5,Richmond
Male,4757,49,Yarra - North
Female,4948,51,Yarra - North
