Total People,Families,Average children per family,Average children for families with children,Total Businesses,Median age,Averger monthly householde mortgage repayments,Average monthly household rental payment,Median weekly rent,Median weekly household income,All private dwellings,SuburbCode,Suburb
9502,1886,1.5,0.3,1546,32," 2,298 "," 1,942 ",426,1408,4377,Abbotsford,"Abbotsford, VIC, AU"
9726,1863,1.7,0.3,2037,32," 2,404 "," 1,707 ",400,1261,4657,Collingwood,"Collingwood, VIC, AU"
26557,6166,1.9,0.8,4011,39," 2,784 "," 2,081 ",438,2206,10264,Kew,"Kew, VIC, AU"
33814,6435,1.6,0.4,6040,33," 2,472 "," 1,886 ",410,1973,14427,Richmond,"Richmond, VIC, AU"
5532,1107,1.4,0.2,1433,38," 2,537 "," 2,152 ",451,1759,2923,East Melbourne,"East Melbourne, VIC, AU"
9822,2128,1.7,0.4,969,35," 2,509 "," 1,975 ",390,1451,3186,Yarra - North,"Fairfield, VIC, AU"
25137,5364,1.8,0.5,3485,32," 2,575 "," 1,734 ",371,1303,11555,Hawthorn,"Hawthorn, VIC, AU"
